run_id,instance_id,family,source,instance_seed,search_seed,repetition,algorithm,mode,budget_ms,status,termination,initialization,full_feasible,route_constraints_valid,orders_total,orders_fully_served,orders_missing,packages_total,packages_covered_on_time,coverage_orders_pct,orders_provably_unservable,servable_orders_fully_served,coverage_servable_pct,full_servable_feasible,cost_complete_feasible,cost_raw_do_not_rank_incomplete,distance_km,routes,elapsed_ms,time_first_complete_ms,initialization_ms,final_audit_ms,iterations,neighbor_attempts,invalid_neighbors,accepted_neighbors,plan_evaluations,route_schedules,path_queries,heap_sampled_peak_mib,input_sha256,plan_sha256,config_sha256,algorithm_version,detail
"SMOKE01-r1-b1500-GRASP","SMOKE01","NORMAL","SYNTHETIC","1101","42","1","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","3","3","0","17","17","100.000000","0","3","100.000000","true","624.000000","624.000000","118.000000","2","1500.203900","39.910000","","10.299200","2727","0","0","0","5452","10973","550907","70.460747","c21de30d1f99963c2923671f232106e1fb88d499d4bd7dbb304085105caef503","14de31960080c66fa14ca2a25daf79677eb5c86ed278ff46fee76e426d9d4747","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE01-r1-b1500-SA","SMOKE01","NORMAL","SYNTHETIC","1101","42","1","SA","TIME","1500","OK","RETURNED","BUILT","true","true","3","3","0","17","17","100.000000","0","3","100.000000","true","1296.000000","1296.000000","162.000000","3","825.065100","4.318300","4.989800","10.394700","6750","6750","1633","1156","4011","64699","195395","68.513847","c21de30d1f99963c2923671f232106e1fb88d499d4bd7dbb304085105caef503","9897e8a14f6a5575973b381279debb28f5e3ff0cd3b83d5d4fb70d42b429ede7","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","SA-operational-v1.1 + shared-domain-v2 (metricas; 2026-09-23)","SA original; initialCost=1296.0; iterations=6750; evaluatedNeighbors=4009; acceptedNeighbors=1156; finalTemperature=0.983301527910579"
"SMOKE01-r2-b1500-SA","SMOKE01","NORMAL","SYNTHETIC","1101","73","2","SA","TIME","1500","OK","RETURNED","BUILT","true","true","3","3","0","17","17","100.000000","0","3","100.000000","true","1136.000000","1136.000000","162.000000","3","794.420600","4.663200","5.002900","7.829400","6750","6750","1577","1116","3946","63692","192869","64.464272","c21de30d1f99963c2923671f232106e1fb88d499d4bd7dbb304085105caef503","27ad064cad9f72d29b04cf376dd7f23ccf82518edbf3e9b967657d84292c9f56","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","SA-operational-v1.1 + shared-domain-v2 (metricas; 2026-09-23)","SA original; initialCost=1296.0; iterations=6750; evaluatedNeighbors=3944; acceptedNeighbors=1116; finalTemperature=0.983301527910579"
"SMOKE01-r2-b1500-GRASP","SMOKE01","NORMAL","SYNTHETIC","1101","73","2","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","3","3","0","17","17","100.000000","0","3","100.000000","true","624.000000","624.000000","118.000000","2","1500.184600","16.286300","","11.699000","3349","0","0","0","6698","13464","676665","77.397392","c21de30d1f99963c2923671f232106e1fb88d499d4bd7dbb304085105caef503","59e632930916441b055cab15637e811b6ad26ee70fc224bfb213f665ab9a2183","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE02-r1-b1500-SA","SMOKE02","BLOCKED","SYNTHETIC","1102","42","1","SA","TIME","1500","OK","RETURNED","BUILT","true","true","4","4","0","15","15","100.000000","0","4","100.000000","true","1320.000000","1320.000000","165.000000","4","698.762700","21.206600","21.473300","23.253600","6750","6750","1316","1225","4020","56886","171705","69.786880","13c9d1e2147769069605a2e9601b5f550c4c4ef7b64ac7f40014f51373455c0c","a6e9d77b3582cd315c3461ea3deb0d75678f6f4f92594bb8d6ac72cbf0201381","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","SA-operational-v1.1 + shared-domain-v2 (metricas; 2026-09-23)","SA original; initialCost=1616.0; iterations=6750; evaluatedNeighbors=4018; acceptedNeighbors=1225; finalTemperature=0.983301527910579"
"SMOKE02-r1-b1500-GRASP","SMOKE02","BLOCKED","SYNTHETIC","1102","42","1","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","4","4","0","15","15","100.000000","0","4","100.000000","true","864.000000","864.000000","150.000000","2","1500.169500","51.953500","","9.644300","2745","0","0","0","5490","19961","848895","65.743607","13c9d1e2147769069605a2e9601b5f550c4c4ef7b64ac7f40014f51373455c0c","afd377c4fc63ad065836d2b9d2755fae32ca32f66ad09a34140812e86ca516a5","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE02-r2-b1500-GRASP","SMOKE02","BLOCKED","SYNTHETIC","1102","73","2","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","4","4","0","15","15","100.000000","0","4","100.000000","true","864.000000","864.000000","150.000000","2","1500.161500","41.920100","","9.630300","3083","0","0","0","6164","22375","952812","64.731873","13c9d1e2147769069605a2e9601b5f550c4c4ef7b64ac7f40014f51373455c0c","bda353b4010d60cd544d1ef321513d7d15396d76ee8568692bec2bb9a0965282","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE02-r2-b1500-SA","SMOKE02","BLOCKED","SYNTHETIC","1102","73","2","SA","TIME","1500","OK","RETURNED","BUILT","true","true","4","4","0","15","15","100.000000","0","4","100.000000","true","1352.000000","1352.000000","169.000000","4","736.597400","22.671900","22.959100","10.446300","6750","6750","1274","1180","3900","56140","169773","41.319847","13c9d1e2147769069605a2e9601b5f550c4c4ef7b64ac7f40014f51373455c0c","21040791ba95fca7057e8db384ffca65b4ef8ac839997648bd2db3e618fc14ee","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","SA-operational-v1.1 + shared-domain-v2 (metricas; 2026-09-23)","SA original; initialCost=1616.0; iterations=6750; evaluatedNeighbors=3898; acceptedNeighbors=1180; finalTemperature=0.983301527910579"
"SMOKE03-r1-b1500-GRASP","SMOKE03","SPLIT","SYNTHETIC","1103","42","1","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","2","2","0","30","30","100.000000","0","2","100.000000","true","896.000000","896.000000","118.000000","2","1500.183000","20.100800","","11.503700","2816","0","0","0","5631","16646","493651","74.925613","bc3fed284278e37ae27105d714bb5f685b2c7bc9b4630754882b8d09ba6ae2cf","02be68f75c5af8819aa71a8b6878ebdec5b1a125c00c92ef69228399c87c5974","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE03-r1-b1500-SA","SMOKE03","SPLIT","SYNTHETIC","1103","42","1","SA","TIME","1500","OK","RETURNED","BUILT","true","true","2","2","0","30","30","100.000000","0","2","100.000000","true","1112.000000","1112.000000","214.000000","7","951.259400","3.547700","3.892700","6.968000","6750","6750","1079","2386","4827","89361","312210","68.691399","bc3fed284278e37ae27105d714bb5f685b2c7bc9b4630754882b8d09ba6ae2cf","d45ff034ca0c36d265ca517179ce863b0526177a62b35df2dca1f3f383a9542a","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","SA-operational-v1.1 + shared-domain-v2 (metricas; 2026-09-23)","SA original; initialCost=1536.0; iterations=6750; evaluatedNeighbors=4825; acceptedNeighbors=2386; finalTemperature=0.983301527910579"
